"No.","Time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1","0.000000","130.77.108.235","1.65.111.12","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"2","0.039993","108.33.119.73","1.96.166.204","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"3","0.080000","108.33.119.73","1.96.166.204","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"4","0.119998","119.226.16.38","1.96.166.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"5","0.160003","99.158.44.181","1.45.57.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"6","0.199997","99.158.44.181","1.46.101.123","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"7","0.240026","99.57.187.126","1.76.196.144","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"8","0.280089","210.29.57.250","15.19.73.154","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"9","0.320042","114.197.159.61","153.193.46.78","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"10","0.360017","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"11","0.400066","99.57.187.98","1.35.226.76","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"12","0.439993","99.158.44.181","1.45.147.162","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"13","0.479994","128.55.9.28","1.96.166.236","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"14","0.520105","10.39.147.19","43.206.161.187","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"15","0.560004","212.238.103.84","74.55.250.250","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"16","0.600012","146.88.52.32","18.192.192.116","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"17","0.640002","184.101.183.12","111.205.228.237","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"18","0.680167","43.139.96.21","1.81.7.104","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"19","0.720013","35.240.194.204","23.242.236.198","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"20","0.760012","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"21","0.800098","101.133.64.239","5.252.100.69","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"22","0.840073","99.57.187.117","1.12.177.244","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"23","0.880049","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"24","0.920074","106.84.38.147","1.35.43.207","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"25","0.959995","99.57.187.98","1.110.167.94","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"26","1.000032","130.12.70.255","43.252.224.134","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"27","1.040013","112.127.196.193","1.96.166.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"28","1.079993","106.84.38.138","1.39.36.159","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"29","1.120037","99.158.44.181","1.47.76.203","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"30","1.160039","20.136.201.25","1.124.170.34","IPv4","45","IPv6 hop-by-hop options[Malformed Packet]","",""
"31","1.200011","201.217.100.241","73.6.76.173","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"32","1.240011","119.169.102.170","43.252.226.7","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"33","1.280081","99.57.187.94","1.80.149.127","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"34","1.320139","111.234.14.168","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"35","1.360005","109.147.8.86","1.154.116.117","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"36","1.399998","99.158.44.122","1.46.80.112","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"37","1.440004","43.139.96.21","1.0.148.49","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"38","1.480012","99.57.187.126","1.147.49.219","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"39","1.520007","109.147.8.86","1.1.228.254","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"40","1.560103","99.57.187.81","1.39.18.49","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"41","1.600000","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"42","1.639996","212.230.239.131","1.96.230.246","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"43","1.680014","132.104.177.17","102.0.240.169","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"44","1.720001","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"45","1.760009","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"46","1.799993","119.169.102.170","43.252.226.7","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"47","1.840035","119.226.16.38","1.96.166.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"48","1.879997","99.57.187.68","107.29.87.82","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"49","1.920018","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"50","1.960089","210.22.249.171","211.106.221.82","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"51","1.999997","99.57.187.121","1.36.91.19","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"52","2.040044","99.158.44.122","1.46.139.220","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"53","2.080018","198.67.225.40","43.252.224.54","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"54","2.120080","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"55","2.160014","99.57.187.126","1.0.170.57","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"56","2.199996","99.57.187.116","1.13.196.202","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"57","2.240002","99.158.44.181","1.47.71.50","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"58","2.279998","183.236.135.128","3.133.38.36","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"59","2.320019","99.57.187.89","1.2.126.175","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"60","2.360012","128.55.9.28","1.96.166.236","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"61","2.400011","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"62","2.440055","43.139.96.21","1.37.105.142","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"63","2.480005","99.57.187.126","1.76.196.144","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"64","2.519993","112.99.254.158","1.96.167.106","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"65","2.559995","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"66","2.599990","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"67","2.640048","91.188.254.121","137.32.63.54","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"68","2.680021","119.169.102.170","43.252.226.7","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"69","2.720011","99.57.187.116","1.101.91.90","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"70","2.759998","39.198.57.200","1.96.231.181","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"71","2.800010","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"72","2.840051","122.9.59.109","43.252.226.19","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"73","2.880252","184.101.183.12","111.205.228.237","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"74","2.920025","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"75","2.960041","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"76","3.000017","206.151.150.58","1.108.195.74","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"77","3.040041","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"78","3.080031","99.158.44.98","1.46.139.220","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"79","3.120403","99.57.187.68","5.241.141.29","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"80","3.160175","99.57.187.126","1.110.189.82","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"81","3.200063","99.158.44.181","1.46.80.112","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"82","3.240040","106.84.38.147","1.35.43.207","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"83","3.279997","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"84","3.320023","99.57.187.116","1.149.139.3","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"85","3.360008","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"86","3.400119","130.58.28.166","1.96.222.244","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"87","3.440045","153.193.13.226","221.46.220.243","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"88","3.480034","130.58.28.166","1.96.222.244","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"89","3.519989","99.158.44.98","1.45.154.86","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"90","3.559990","99.57.187.94","1.39.38.124","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"91","3.600077","132.104.177.17","102.0.240.169","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"92","3.639999","99.158.44.98","1.46.80.112","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"93","3.679994","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"94","3.720003","79.90.14.174","111.205.25.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"95","3.760037","99.57.187.68","1.13.0.88","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"96","3.799992","79.90.14.174","111.205.25.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"97","3.840005","114.13.248.112","1.96.186.242","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"98","3.880000","99.57.187.121","1.34.198.235","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"99","3.920013","99.57.187.245","1.158.87.140","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"100","3.960042","99.158.44.181","1.66.80.71","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"101","4.000000","99.57.187.66","1.154.110.2","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"102","4.040035","111.234.14.168","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"103","4.080000","99.57.187.66","1.37.198.189","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"104","4.120006","12.36.2.149","43.252.226.42","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"105","4.160007","126.21.67.82","1.96.149.52","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"106","4.200020","146.193.23.202","111.205.25.218","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"107","4.240022","99.57.187.119","1.39.14.158","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"108","4.280037","99.57.187.89","1.106.53.242","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"109","4.320013","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"110","4.360023","99.57.187.66","1.154.213.17","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"111","4.400076","157.36.225.112","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"112","4.440006","79.90.14.174","111.205.25.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"113","4.480084","65.173.52.98","221.46.220.242","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"114","4.520011","99.57.187.66","1.154.110.2","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"115","4.560001","119.226.192.68","1.96.166.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"116","4.600063","13.28.30.88","43.252.226.38","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"117","4.640006","79.90.14.174","111.205.25.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"118","4.680070","99.158.44.181","1.46.98.23","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"119","4.720043","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"120","4.759998","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"121","4.799997","79.90.14.174","111.205.25.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"122","4.839997","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"123","4.880214","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"124","4.920045","99.57.187.116","1.91.119.69","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"125","4.959992","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"126","5.000140","112.65.18.81","1.96.166.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"127","5.040035","12.36.2.149","43.252.226.42","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"128","5.079992","99.158.44.181","1.45.147.162","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"129","5.119998","111.234.14.168","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"130","5.160028","157.36.225.112","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"131","5.200006","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"132","5.240039","99.158.44.122","1.47.68.166","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"133","5.280040","99.57.187.248","1.90.209.143","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"134","5.320030","143.96.207.17","163.254.97.40","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"135","5.360017","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"136","5.400000","99.57.187.126","1.147.49.219","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"137","5.440062","109.147.8.232","1.39.243.189","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"138","5.479990","143.96.207.17","163.254.97.40","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"139","5.520016","146.193.23.202","111.205.25.218","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"140","5.559997","99.158.44.122","1.45.99.101","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"141","5.600093","78.96.215.176","164.235.160.247","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"142","5.639987","99.57.187.68","1.12.208.249","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"143","5.680025","99.158.44.98","1.46.11.91","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"144","5.720034","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"145","5.760053","99.57.187.81","1.38.156.185","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"146","5.800023","99.57.187.81","1.110.144.118","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"147","5.840029","130.4.37.127","43.252.226.18","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"148","5.880048","69.46.28.41","137.182.6.186","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"149","5.920045","99.57.187.89","1.147.38.163","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"150","5.960097","15.79.255.9","102.43.173.72","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"151","6.000037","119.169.102.170","43.252.226.7","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"152","6.040011","99.158.44.181","1.45.99.101","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"153","6.080024","207.128.111.244","1.96.167.26","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"154","6.120056","35.240.194.251","51.148.116.200","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"155","6.160009","157.36.225.112","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"156","6.200025","99.57.187.113","1.149.4.187","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"157","6.240003","47.63.36.135","1.96.155.53","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"158","6.280007","69.12.160.69","137.35.147.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"159","6.320147","130.12.70.255","43.252.224.134","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"160","6.359997","111.234.14.168","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"161","6.400066","43.139.96.21","1.0.148.49","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"162","6.440115","210.29.57.250","15.19.73.154","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"163","6.480034","112.127.196.193","1.96.166.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"164","6.520056","111.234.14.168","5.252.65.199","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"165","6.560061","199.168.64.240","210.254.98.62","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"166","6.599986","99.57.187.116","1.110.151.252","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"167","6.640105","112.65.18.81","1.96.166.240","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"168","6.680017","99.57.187.121","1.110.169.27","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"169","6.720002","99.57.187.121","1.100.156.12","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
